client_id,client_type,client_name,owner_name,specialty_type,address,governorate,delegation,latitude,longitude,phone,patients_per_month,last_visit_date,total_visits,engagement_level,preferred_products,languages,days_since_last_visit,weeks_since_last_visit,months_since_last_visit,last_visit_month,recency_category,engagement_score_num,specialty_macro,languages_list,nb_languages,speaks_french,speaks_arabic,speaks_english,primary_language,preferred_products_list,nb_preferred_products,is_multi_product,gps_valid,distance_from_tunis_km,is_pharmacy,is_doctor,is_specialist,crm_segment,patient_volume_category,patients_normalized,visit_frequency_rec,max_visit_interval_days,visit_overdue,visit_priority_score
CLI0158,Cabinet Médical,Pr. Mohamed Elloumi,Pr. Mohamed Elloumi,Pédiatrie,"Centre Médical, 131 Rue de la République, Ettadhamen, Ariana",Ariana,Ettadhamen,36.849569,10.159108,+216 96 172 640,205,2025-12-06,17,Moyen,"LV Fersang junior, Vitonic Tonus",Arabe,77,11.0,2.5,2025-12,À relancer (61-90j),2,Pédiatrie,['Arabe'],1,0,1,0,Arabe,"['LV Fersang junior', 'Vitonic Tonus']",2,1,1,3.45,0,1,1,Médecin Développement,Cabinet modéré,0.078,Trimestriel,90,0,3.25
CLI0194,Cabinet Médical,Dr. Sonia Farhat,Dr. Sonia Farhat,Gastro-entérologie,"Centre Médical, 115 Rue de la République, Sidi Thabet, Ariana",Ariana,Sidi Thabet,36.892104,10.194916,+216 31 391 128,714,2025-11-08,13,Faible,LV Fersang Gélule,Français,105,15.0,3.4,2025-11,Urgence (>90j),1,Gastro-entérologie,['Français'],1,1,0,0,Français,['LV Fersang Gélule'],1,0,1,8.53,0,1,1,Médecin À Conquérir,Cabinet très actif,0.868,Bi-mensuel,15,1,7.2
CLI0207,Cabinet Médical,Dr. Karim Belhadj,Dr. Karim Belhadj,Urologie,"Cabinet Médical, 128 Rue de la République, Kalâat el-Andalous, Ariana",Ariana,Kalâat El-Andalous,36.8218,10.255592,+216 90 608 312,685,2025-12-16,13,Moyen,"LV Sélénium A, C, E Anti-âge, PHYTOFANE Lotion anti chute, Hydra eau micellaire","Français, Arabe",67,9.6,2.2,2025-12,À relancer (61-90j),2,Urologie,"['Français', 'Arabe']",2,1,1,0,Français,"['LV Sélénium A', 'C', 'E Anti-âge', 'PHYTOFANE Lotion anti chute', 'Hydra eau micellaire']",5,1,1,8.0,0,1,1,Médecin Développement,Cabinet très actif,0.823,Bi-mensuel,15,1,5.18
CLI0212,Cabinet Médical,Pr. Mohamed Jemni,Pr. Mohamed Jemni,Urologie,"Centre Médical, 148 Rue Ibn Khaldoun, Mnihla, Ariana",Ariana,Mnihla,36.813002,10.295579,+216 51 593 454,496,2025-09-26,18,Faible,"Echinacée, Zinc, Vit.C, TC 2000 Nutractiva, LV Fersang junior",Arabe,148,21.1,4.9,2025-09,Urgence (>90j),1,Urologie,['Arabe'],1,0,1,0,Arabe,"['Echinacée', 'Zinc', 'Vit.C', 'TC 2000 Nutractiva', 'LV Fersang junior']",5,1,1,11.57,0,1,1,Médecin À Conquérir,Cabinet actif,0.53,Trimestriel,90,1,6.8
CLI0216,Cabinet Médical,Dr. Mohamed Farhat,Dr. Mohamed Farhat,Ophtalmologie,"Centre Médical, 75 Avenue Mohamed V, Ariana Ville, Ariana",Ariana,Ariana Ville,36.804397,10.240419,+216 33 360 725,196,2025-12-25,17,Moyen,LV Fersang Gélule,Arabe,58,8.3,1.9,2025-12,Normal (31-60j),2,Ophtalmologie,['Arabe'],1,0,1,0,Arabe,['LV Fersang Gélule'],1,0,1,6.84,0,1,1,Médecin Développement,Cabinet modéré,0.064,Trimestriel,90,0,2.89
CLI0228,Cabinet Médical,Dr. Mehdi Jemni,Dr. Mehdi Jemni,Médecine Générale,"Centre Médical, 17 Rue de la République, Ariana Ville, Ariana",Ariana,Ariana Ville,36.834067,10.254716,+216 29 864 802,584,2026-01-10,8,Moyen,"LV Fersang Gélule, Echinacée, Zinc, Vit.C, LV CYSPROTECT",Arabe,42,6.0,1.4,2026-01,Normal (31-60j),2,Médecine Générale,['Arabe'],1,0,1,0,Arabe,"['LV Fersang Gélule', 'Echinacée', 'Zinc', 'Vit.C', 'LV CYSPROTECT']",5,1,1,8.09,0,1,0,Médecin Développement,Cabinet actif,0.666,Bi-mensuel,15,1,4.66
CLI0001,Pharmacie,Para-Pharmacie de la Santé,Sonia Gharbi,Parapharmacie,"189 Rue Ibn Khaldoun, Ariana Ville, Ariana",Ariana,Ariana Ville,36.848134,10.209073,+216 97 127 674,930,2026-02-03,5,Faible,Vitonic Tonus,"Français, Arabe, Anglais, Italien",18,2.6,0.6,2026-02,Récent (≤30j),1,Pharmacie,"['Français', 'Arabe', 'Anglais', 'Italien']",4,1,1,1,Français,['Vitonic Tonus'],1,0,1,5.03,1,0,0,Pharmacie À Développer,Fréquentation moyenne,0.041,Trimestriel,90,0,4.11
CLI0010,Pharmacie,Pharmacie du Lac,Leila Ben Ali,Pharmacie Générale,"151 Avenue Mohamed V, Ettadhamen, Ariana",Ariana,Ettadhamen,36.744043,10.114199,+216 55 785 597,1737,2026-01-24,4,Faible,"LV Fersang junior, PédiaKids Gelée royale","Français, Arabe, Anglais",28,4.0,0.9,2026-01,Récent (≤30j),1,Médecine Générale,"['Français', 'Arabe', 'Anglais']",3,1,1,1,Français,"['LV Fersang junior', 'PédiaKids Gelée royale']",2,1,1,9.52,1,0,0,Pharmacie À Développer,Haute fréquentation,0.343,Trimestriel,90,0,5.1
CLI0012,Pharmacie,Pharmacie Carthage,Nadia Khelifi,Pharmacie Générale,"36 Rue de la République, Ettadhamen, Ariana",Ariana,Ettadhamen,36.755709,10.149961,+216 21 195 871,2615,2025-09-23,6,Faible,OLIGOVIT Trio,"Français, Arabe, Anglais, Italien",151,21.6,5.0,2025-09,Urgence (>90j),1,Médecine Générale,"['Français', 'Arabe', 'Anglais', 'Italien']",4,1,1,1,Français,['OLIGOVIT Trio'],1,0,1,7.18,1,0,0,Pharmacie À Développer,Haute fréquentation,0.671,Trimestriel,90,1,7.92
CLI0026,Pharmacie,Para-Pharmacie du Progrès,Rami Mansouri,Pharmacie Générale,"184 Rue du 20 Mars, Raoued, Ariana",Ariana,Raoued,36.779931,10.129514,+216 79 151 670,1236,2025-10-25,10,Faible,LV Psolcalm,"Français, Arabe, Anglais, Italien",119,17.0,3.9,2025-10,Urgence (>90j),1,Médecine Générale,"['Français', 'Arabe', 'Anglais', 'Italien']",4,1,1,1,Français,['LV Psolcalm'],1,0,1,5.41,1,0,0,Pharmacie À Développer,Fréquentation moyenne,0.155,Trimestriel,90,1,5.84
CLI0029,Pharmacie,Para-Pharmacie Moderne,Nadia Khelifi,Pharmacie Générale,"107 Rue de la République, Raoued, Ariana",Ariana,Raoued,36.866578,10.177895,+216 69 973 955,3158,2025-11-05,18,Faible,Huile de Menthe,Français,108,15.4,3.5,2025-11,Urgence (>90j),1,Médecine Générale,['Français'],1,1,0,0,Français,['Huile de Menthe'],1,0,1,5.4,1,0,0,Pharmacie À Développer,Très haute fréquentation,0.874,Bi-mensuel,15,1,6.97
CLI0031,Pharmacie,Para-Pharmacie El Menzah,Amira Gharbi,Pharmacie de Nuit,"13 Rue du 20 Mars, Sidi Thabet, Ariana",Ariana,Sidi Thabet,36.765471,10.19094,+216 22 867 652,2352,2025-12-01,16,Faible,"LV Fersang Gélule, LV Fersang junior",Arabe,82,11.7,2.7,2025-12,À relancer (61-90j),1,Pharmacie,['Arabe'],1,0,1,0,Arabe,"['LV Fersang Gélule', 'LV Fersang junior']",2,1,1,6.36,1,0,0,Pharmacie À Développer,Haute fréquentation,0.573,Trimestriel,90,0,5.89
CLI0042,Pharmacie,Pharmacie Manar,Nadia Trabelsi,Pharmacie de Nuit,"41 Rue du 20 Mars, Ettadhamen, Ariana",Ariana,Ettadhamen,36.790101,10.218762,+216 49 370 906,933,2025-12-13,12,Faible,"PHYTOFANE Lotion anti chute, Echinacée, Zinc, Vit.C, Omevie Omega 3 – 1000","Français, Arabe",70,10.0,2.3,2025-12,À relancer (61-90j),1,Pharmacie,"['Français', 'Arabe']",2,1,1,0,Français,"['PHYTOFANE Lotion anti chute', 'Echinacée', 'Zinc', 'Vit.C', 'Omevie Omega 3 – 1000']",5,1,1,5.71,1,0,0,Pharmacie À Développer,Fréquentation moyenne,0.042,Trimestriel,90,0,4.59
CLI0079,Pharmacie,Para-Pharmacie du Progrès,Leila Gharbi,Pharmacie Générale,"172 Rue Ibn Khaldoun, Mnihla, Ariana",Ariana,Mnihla,36.834091,10.201698,+216 44 331 240,2285,2025-11-23,8,Faible,Huile de Menthe,Arabe,90,12.9,3.0,2025-11,À relancer (61-90j),1,Médecine Générale,['Arabe'],1,0,1,0,Arabe,['Huile de Menthe'],1,0,1,3.61,1,0,0,Pharmacie À Développer,Haute fréquentation,0.548,Trimestriel,90,0,6.44
