rep_id,rep_name,total_sessions,first_score,last_score,best_score,avg_score,avg_rolling_score,total_improvement,avg_improvement_per_sess,learning_slope,stagnation_sessions,pct_competent,total_training_min,avg_duration,avg_attempts,avg_efficiency,first_attempt_successes,max_difficulty,current_cert_rank,current_cert_status,coaching_intensive_pct,nb_simulations_pharm,nb_simulations_med,nb_simulations_complex,last_session_date,last_difficulty,last_progress_status,improvement_pct,training_hours,learning_trajectory,training_rank,roi_score_per_hour,coaching_dependency
REP006,Leila Cherif,8,7.2,7.0,7.6,7.29,7.4,-0.2,-0.02,0.006,0,0.88,226,28.25,3.25,2.03,1,3,0,En formation,0.0,4,4,0,2025-10-31,Avancé,En Progrès,-2.8,3.8,Progression lente,1,-0.051,0.0
REP021,Bilel Ayari,5,7.1,7.0,7.8,7.2,7.2,-0.1,-0.02,-0.07,0,0.8,125,25.0,2.0,3.78,1,2,0,En formation,0.0,5,0,0,2025-10-29,Intermédiaire,En Progrès,-1.4,2.1,Régression,2,-0.045,0.0
REP003,Mohamed Gharbi,5,7.0,7.1,7.7,7.2,7.23,0.1,0.02,-0.02,0,0.8,149,29.8,2.6,3.81,2,2,0,En formation,0.0,4,1,0,2025-10-25,Intermédiaire,En Progrès,1.4,2.5,Régression,2,0.038,0.0
REP024,Olfa Haddad,6,6.6,7.0,7.0,6.85,6.83,0.4,0.07,0.0314,0,0.5,186,31.0,2.33,2.92,1,2,0,En formation,0.0,5,1,0,2025-11-10,Intermédiaire,En Progrès,6.1,3.1,Progression lente,4,0.125,0.0
REP012,Salma Ferchichi,5,6.7,6.8,7.2,6.84,6.83,0.1,0.02,-0.03,0,0.4,142,28.4,3.2,1.95,0,2,0,En formation,0.0,5,0,0,2025-10-17,Intermédiaire,En Progrès,1.5,2.4,Régression,5,0.04,0.0
REP018,Rim Oueslati,6,6.2,6.9,7.2,6.6,6.5,0.7,0.12,0.0457,0,0.17,185,30.833333333333332,2.67,2.03,0,2,0,En formation,0.0,4,2,0,2025-11-20,Intermédiaire,En Progrès,11.3,3.1,Progression lente,6,0.219,0.0
REP015,Zied Laabidi,7,6.1,6.8,6.8,6.47,6.57,0.7,0.1,0.0643,0,0.0,214,30.571428571428573,2.71,1.84,0,2,0,En formation,0.0,4,3,0,2025-11-10,Intermédiaire,En Progrès,11.5,3.6,Progression lente,7,0.189,0.0
REP009,Mehdi Jbeli,5,5.9,6.2,6.6,6.08,6.13,0.3,0.06,0.01,0,0.0,160,32.0,3.0,2.36,0,2,0,En formation,0.4,5,0,0,2025-11-02,Intermédiaire,Nécessite pratique,5.1,2.7,Progression lente,8,0.107,0.4
REP011,Rami Abidi,12,5.7,6.4,6.4,5.93,6.2,0.7,0.06,0.029,0,0.0,330,27.5,2.25,1.68,0,3,0,En formation,0.58,7,2,3,2025-12-30,Avancé,Nécessite pratique,12.3,5.5,Progression lente,9,0.125,0.58
REP020,Nesrine Jaziri,9,5.7,5.5,6.2,5.8,5.7,-0.2,-0.02,-0.04,0,0.0,277,30.77777777777778,2.11,2.2,0,3,0,En formation,0.67,8,0,1,2025-11-15,Avancé,Nécessite pratique,-3.5,4.6,Régression,10,-0.043,0.67
REP023,Tarek Mejri,11,5.3,5.9,6.1,5.64,5.67,0.6,0.05,0.0236,0,0.0,305,27.727272727272727,2.36,1.71,0,3,0,En formation,0.91,7,3,1,2025-12-12,Avancé,Nécessite pratique,11.3,5.1,Progression lente,11,0.115,0.91
REP017,Anis Agrebi,12,5.1,5.9,5.9,5.52,5.77,0.8,0.07,0.0462,0,0.0,370,30.833333333333332,1.75,2.21,0,3,0,En formation,1.0,5,5,2,2025-12-17,Avancé,Nécessite pratique,15.7,6.2,Progression lente,12,0.127,1.0
REP002,Fatma Trabelsi,10,5.1,5.5,5.7,5.33,5.37,0.4,0.04,0.0285,0,0.0,268,26.8,1.9,2.28,0,3,0,En formation,1.0,7,2,1,2025-12-12,Avancé,Nécessite pratique,7.8,4.5,Progression lente,13,0.087,1.0
REP005,Karim Bouaziz,10,5.0,5.4,5.4,5.12,5.17,0.4,0.04,0.0182,1,0.0,264,26.4,2.4,1.66,0,3,0,En formation,1.0,5,5,0,2025-12-21,Avancé,Nécessite pratique,8.0,4.4,Progression lente,14,0.089,1.0
REP014,Ines Mbarek,11,4.8,5.6,5.6,5.11,5.27,0.8,0.07,0.0382,0,0.0,315,28.636363636363637,2.27,1.5,0,3,0,En formation,1.0,5,4,2,2025-12-30,Avancé,Nécessite pratique,16.7,5.2,Progression lente,15,0.151,1.0
