session_id,rep_id,rep_name,session_number,date,month,month_name,training_day,training_week,simulation_type,difficulty_level,difficulty_num,product,objection_scenario,attempts,duration_minutes,scientific_accuracy_score,communication_clarity_score,objection_handling_score,overall_score,improvement_from_previous,improvement_percentage,rolling_score_3,cumulative_avg_score,best_score_so_far,cumulative_improvement,score_velocity,score_delta_1,learning_slope,is_competent,is_certification_eligible,needs_intensive_coaching,is_autonomous,is_stagnating,attempts_efficiency,efficiency_category,first_attempt_success,next_difficulty_rec,progress_status,progress_num,certification_status,certification_rank,coaching_received,coaching_level,nb_skills,skill_coverage_score,skill_presentation_produit,skill_gestion_objections,skill_argumentation_scientif,skill_communication,skill_negociation,skill_empathie,skill_connaissance_produit
SIM00003,REP001,Ahmed Ben Ali,3,2025-10-19,10,October,18,2,Simulation Pharmacien,Débutant,1,Vitonic Tonus,Efficacité douteuse,3,18,3.6,3.7,4.1,3.8,0.0,0.0,3.77,3.77,3.8,0.1,0.1,0.0,0.0259,0,0,1,0,1,1.267,Efficace,0,Changer type simulation,Nécessite pratique,1,En formation,0,Coaching Intensif,2,2,1,0,0,1,0,0,0,0
SIM00012,REP001,Ahmed Ben Ali,12,2025-12-06,12,December,66,9,Simulation Médecin,Avancé,3,LV CYSPROTECT,Prix élevé,1,19,4.1,4.3,3.7,4.0,-0.1,-2.4,4.0,3.75,4.1,0.3,0.1,-0.1,0.0259,0,0,1,0,1,1.333,Efficace,0,Changer type simulation,Nécessite pratique,1,En formation,0,Coaching Intensif,2,3,2,0,1,0,0,0,1,0
SIM00033,REP004,Sonia Mansouri,6,2025-11-20,11,November,50,7,Simulation Médecin,Intermédiaire,2,Vitonic Tonus,Posologie complexe,1,24,4.2,4.3,3.9,4.1,0.2,5.1,4.0,4.18,4.6,-0.2,0.1,0.2,0.0171,0,0,1,0,1,2.05,Très efficace,0,Changer type simulation,Nécessite pratique,1,En formation,0,Coaching Intensif,2,3,3,0,1,0,1,0,1,0
SIM00037,REP004,Sonia Mansouri,10,2025-11-24,11,November,54,7,Simulation Médecin,Avancé,3,Omevie Omega 3 – 1000,Efficacité douteuse,2,25,4.0,4.2,3.8,4.0,0.0,0.0,3.97,4.12,4.6,-0.3,0.1,0.0,0.0171,0,0,1,0,1,0.667,Modéré,0,Changer type simulation,Nécessite pratique,1,En formation,0,Coaching Intensif,2,2,1,0,1,0,0,0,0,0
SIM00042,REP004,Sonia Mansouri,15,2025-11-26,11,November,56,8,Simulation Médecin,Avancé,3,PHYTOFANE Lotion anti chute,Prix élevé,1,22,4.4,4.8,4.6,4.6,0.0,0.0,4.53,4.21,4.6,0.3,0.2,0.0,0.0171,0,0,1,0,1,1.533,Efficace,0,Changer type simulation,Nécessite pratique,1,En formation,0,Coaching Intensif,2,2,1,0,0,0,1,0,0,0
SIM00048,REP005,Karim Bouaziz,6,2025-11-15,11,November,45,6,Simulation Médecin,Intermédiaire,2,LV CYSPROTECT,Stock suffisant,1,17,5.0,5.2,4.9,5.0,0.0,0.0,4.97,5.07,5.4,0.0,0.1,0.0,0.0182,0,0,1,0,1,2.5,Très efficace,0,Changer type simulation,Nécessite pratique,1,En formation,0,Coaching Intensif,2,3,1,0,0,0,1,0,0,0
SIM00070,REP007,Youssef Hamdi,10,2025-12-21,12,December,81,11,Cas Complexe Multi-Objections,Avancé,3,Vitonic Tonus,Efficacité douteuse,2,35,4.6,4.7,4.4,4.6,0.0,0.0,4.63,4.88,5.4,-0.2,-0.1,0.0,-0.0088,0,0,1,0,1,0.767,Modéré,0,Changer type simulation,Nécessite pratique,1,En formation,0,Coaching Intensif,2,2,1,0,0,0,0,0,1,0
SIM00097,REP010,Nadia Sassi,8,2025-11-05,11,November,35,5,Simulation Pharmacien,Avancé,3,OLIGOVIT Trio,Concurrence,3,45,3.7,3.8,3.3,3.6,-0.1,-2.7,3.67,3.65,3.9,0.1,-0.1,-0.1,0.0389,0,0,1,0,1,0.4,À améliorer,0,Changer type simulation,Nécessite pratique,1,En formation,0,Coaching Intensif,2,2,1,0,1,0,0,0,0,0
SIM00098,REP010,Nadia Sassi,9,2025-11-10,11,November,40,5,Cas Complexe Multi-Objections,Avancé,3,LV CYSPROTECT,Effets secondaires,3,29,3.7,3.9,3.6,3.7,0.1,2.8,3.67,3.66,3.9,0.2,0.0,0.1,0.0389,0,0,1,0,1,0.411,À améliorer,0,Changer type simulation,Nécessite pratique,1,En formation,0,Coaching Intensif,2,2,1,0,0,0,1,0,0,0
SIM00099,REP010,Nadia Sassi,10,2025-11-15,11,November,45,6,Cas Complexe Multi-Objections,Avancé,3,LV CYSPROTECT,Posologie complexe,2,40,3.6,3.6,3.7,3.6,-0.1,-2.7,3.63,3.65,3.9,0.1,0.0,-0.1,0.0389,0,0,1,0,1,0.6,Modéré,0,Changer type simulation,Nécessite pratique,1,En formation,0,Coaching Intensif,2,2,1,0,0,1,0,0,0,0
SIM00102,REP010,Nadia Sassi,13,2026-01-29,1,January,120,17,Cas Complexe Multi-Objections,Avancé,3,OLIGOVIT Trio,Concurrence,1,28,4.2,4.3,3.7,4.1,0.0,0.0,4.07,3.75,4.1,0.6,0.1,0.0,0.0389,0,0,1,0,1,1.367,Efficace,0,Changer type simulation,Nécessite pratique,1,En formation,0,Coaching Intensif,2,3,2,0,0,1,1,0,0,0
SIM00103,REP010,Nadia Sassi,14,2025-11-22,11,November,52,7,Cas Complexe Multi-Objections,Avancé,3,Omevie Omega 3 – 1000,Posologie complexe,1,25,3.9,4.4,4.4,4.2,0.1,2.4,4.13,3.78,4.2,0.7,0.1,0.1,0.0389,0,0,1,0,1,1.4,Efficace,0,Changer type simulation,Nécessite pratique,1,En formation,0,Coaching Intensif,2,3,1,0,1,0,0,0,0,0
SIM00130,REP013,Hichem Dridi,10,2025-12-03,12,December,63,9,Simulation Médecin,Avancé,3,Vitonic Tonus,Stock suffisant,2,30,4.5,4.5,4.2,4.4,0.0,0.0,4.37,4.62,5.3,-0.1,0.1,0.0,-0.0104,0,0,1,0,1,0.733,Modéré,0,Changer type simulation,Nécessite pratique,1,En formation,0,Coaching Intensif,2,2,1,0,0,0,1,0,0,0
SIM00131,REP013,Hichem Dridi,11,2025-12-30,12,December,90,12,Simulation Médecin,Avancé,3,OLIGOVIT Trio,Efficacité douteuse,2,18,4.4,4.5,4.3,4.4,0.0,0.0,4.4,4.6,5.3,-0.1,0.0,0.0,-0.0104,0,0,1,0,1,0.733,Modéré,0,Changer type simulation,Nécessite pratique,1,En formation,0,Coaching Intensif,2,2,1,0,0,0,0,0,1,0
SIM00157,REP016,Hajer Toumi,6,2025-11-15,11,November,45,6,Simulation Pharmacien,Intermédiaire,2,PHYTOFANE Lotion anti chute,Prix élevé,1,34,3.5,4.0,3.9,3.8,0.1,2.7,3.73,3.8,4.4,0.3,0.1,0.1,0.0446,0,0,1,0,1,1.9,Efficace,0,Changer type simulation,Nécessite pratique,1,En formation,0,Coaching Intensif,2,1,0,0,0,0,0,0,0,0
SIM00161,REP016,Hajer Toumi,10,2025-12-30,12,December,90,12,Cas Complexe Multi-Objections,Avancé,3,Vitonic Tonus,Stock suffisant,1,23,3.7,4.0,4.0,3.9,0.1,2.6,3.8,3.83,4.4,0.4,0.2,0.1,0.0446,0,0,1,0,1,1.3,Efficace,0,Changer type simulation,Nécessite pratique,1,En formation,0,Coaching Intensif,2,1,1,0,0,0,0,0,1,0
SIM00163,REP016,Hajer Toumi,12,2025-12-17,12,December,77,11,Simulation Médecin,Avancé,3,LV Fersang junior,Posologie complexe,2,44,3.9,4.2,3.8,4.0,-0.1,-2.4,4.0,3.87,4.4,0.5,0.1,-0.1,0.0446,0,0,1,0,1,0.667,Modéré,0,Changer type simulation,Nécessite pratique,1,En formation,0,Coaching Intensif,2,3,1,0,0,0,1,0,0,0
SIM00197,REP019,Fares Guesmi,13,2025-12-12,12,December,72,10,Cas Complexe Multi-Objections,Avancé,3,Vitonic Tonus,Effets secondaires,1,40,5.0,5.0,4.8,4.9,0.0,0.0,4.93,4.9,5.4,-0.3,-0.1,0.0,-0.0165,0,0,1,0,1,1.633,Efficace,0,Changer type simulation,Nécessite pratique,1,En formation,0,Coaching Intensif,2,3,3,0,1,0,1,0,1,0
SIM00218,REP022,Dorra Kilani,6,2025-10-21,10,October,20,2,Simulation Médecin,Intermédiaire,2,OLIGOVIT Trio,Prix élevé,4,15,4.5,4.5,4.7,4.6,0.1,2.2,4.5,4.65,4.9,-0.1,0.2,0.1,-0.0161,0,0,1,0,1,0.575,Modéré,0,Changer type simulation,Nécessite pratique,1,En formation,0,Coaching Intensif,2,3,2,0,1,0,1,0,0,0
